                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5276,                 2.8719,                 1.5468,                0.51169,                0.65686,                0.63943,                0.45002,                 1.1449,                  3.594,                 1.2005,             0.00025722,             0.00025722,             0.00025722
                      2,                  1.354,                 1.8736,                  1.449,                0.66909,                0.86338,                0.77709,                0.36873,                 1.2304,                 5.1758,                 1.2753,             0.00050779,             0.00050779,             0.00050779
                      3,                 1.3511,                 1.7659,                 1.4268,                0.27463,                0.34449,                0.32375,                0.18116,                 1.4085,                 9.5022,                 1.5007,             0.00073686,             0.00073686,             0.00073686
                      4,                 1.3952,                 1.6183,                 1.4222,                0.37265,                0.51087,                0.27931,                0.15581,                 1.7103,                 5.3102,                 1.7938,             0.00094443,             0.00094443,             0.00094443
                      5,                 1.3571,                 1.5593,                 1.3865,                0.34192,                0.32609,                0.38356,                0.20392,                 1.4248,                 4.5377,                 1.6553,              0.0011305,              0.0011305,              0.0011305
                      6,                 1.3502,                 1.6425,                 1.4286,                 0.9402,                0.28261,                0.44917,                 0.1889,                 1.6092,                 3.2389,                 1.6934,              0.0011461,              0.0011461,              0.0011461
                      7,                 1.3758,                 1.6053,                 1.4406,                0.30506,                0.59783,                0.38555,                0.21451,                 1.6319,                 1.9338,                 1.8952,              0.0011461,              0.0011461,              0.0011461
                      8,                  1.337,                 1.5437,                 1.4216,                 0.7637,                0.76783,                0.79951,                0.30886,                 1.5892,                 2.1151,                  1.805,              0.0010895,              0.0010895,              0.0010895
                      9,                 1.3956,                 1.5402,                 1.4518,                0.32117,                0.48913,                0.30995,                0.18625,                 1.4738,                 2.1451,                 1.7457,              0.0010329,              0.0010329,              0.0010329
                     10,                 1.3481,                 1.4869,                 1.4096,                0.67493,                0.63052,                0.55337,                0.27248,                 1.6173,                 2.3855,                 1.8816,             0.00097629,             0.00097629,             0.00097629
                     11,                 1.4062,                 1.4865,                 1.4493,                0.20038,                0.59783,                0.33352,                0.18182,                 1.6798,                 2.0297,                   1.71,              0.0009197,              0.0009197,              0.0009197
                     12,                 1.3715,                 1.4434,                  1.404,                0.84353,                0.36957,                0.44355,                0.27562,                  1.498,                 1.4556,                 1.5876,             0.00086312,             0.00086312,             0.00086312
                     13,                 1.2764,                 1.3588,                 1.3641,                0.36453,                0.74974,                 0.4703,                0.31812,                 1.3846,                  1.763,                 1.5307,             0.00080653,             0.00080653,             0.00080653
                     14,                 1.2496,                 1.3029,                 1.3459,                0.53929,                0.84783,                0.60186,                0.37363,                 1.3304,                 1.5039,                 1.4272,             0.00074994,             0.00074994,             0.00074994
                     15,                 1.2523,                 1.2678,                 1.3399,                0.45035,                0.86957,                0.54787,                0.31362,                 1.4312,                 1.3275,                 1.4599,             0.00069335,             0.00069335,             0.00069335
                     16,                 1.2514,                 1.5247,                 1.3482,                0.69497,                0.53261,                0.64654,                0.37844,                 1.4034,                 1.4946,                 1.5067,             0.00063676,             0.00063676,             0.00063676
                     17,                 1.1791,                 1.3723,                 1.3167,                0.58958,                0.82211,                0.64961,                0.41931,                 1.3741,                  1.151,                 1.5206,             0.00058017,             0.00058017,             0.00058017
                     18,                 1.1869,                 1.2851,                 1.3213,                0.65435,                0.82137,                0.74636,                0.44099,                 1.3557,                 1.4794,                 1.4573,             0.00052359,             0.00052359,             0.00052359
                     19,                 1.1336,                 1.2678,                 1.3013,                 0.6317,                 0.8211,                0.73736,                0.38319,                 1.3653,                 1.3981,                 1.4469,               0.000467,               0.000467,               0.000467
                     20,                 1.0829,                 1.1066,                 1.2481,                0.60658,                0.83462,                 0.7082,                0.39658,                 1.3938,                 1.5684,                 1.4901,             0.00041041,             0.00041041,             0.00041041
                     21,                 1.1067,                 1.1402,                  1.269,                0.62618,                0.83054,                 0.7079,                0.49687,                 1.3459,                 1.5111,                 1.4356,             0.00035382,             0.00035382,             0.00035382
                     22,                 1.0509,                 1.0806,                 1.2194,                0.78818,                0.78261,                0.88312,                0.60739,                 1.2736,                 1.3017,                 1.4345,             0.00029723,             0.00029723,             0.00029723
                     23,                  1.052,                 1.0432,                 1.2182,                0.87357,                0.80449,                0.88091,                0.63858,                  1.294,                 1.2683,                 1.4502,             0.00024064,             0.00024064,             0.00024064
                     24,                 1.0117,                 1.0075,                 1.1972,                0.75662,                0.81965,                0.87876,                0.62104,                 1.2756,                 1.3671,                 1.4283,             0.00018406,             0.00018406,             0.00018406
                     25,                 1.0126,                0.99514,                 1.2068,                0.78426,                0.81112,                0.87785,                0.62048,                 1.2458,                 1.3233,                 1.4158,             0.00012747,             0.00012747,             0.00012747
